id,srno,state,city,pm10,monitors-p10,readings-pm10,pm25,monitors-pm25,readings-pm25,year
321,57,Maharashtra,Badlapur,144,1,82,,0,0,2018
322,58,Maharashtra,Chandrapur,149,6,831,,0,0,2018
323,59,Maharashtra,Jalgaon,74,3,330,,0,0,2018
324,60,Maharashtra,Jalna,103,2,178,,0,0,2018
325,61,Maharashtra,Kolhapur,90,3,297,,0,0,2018
326,62,Maharashtra,Latur,95,3,317,,0,0,2018
327,63,Maharashtra,Mumbai,165,3,212,46,1,96,2018
328,64,Maharashtra,Nagpur,109,6,590,44,1,96,2018
329,65,Maharashtra,Nashik,82,5,929,,0,0,2018
330,66,Maharashtra,Navi Mumbai,71,6,595,,0,0,2018
331,67,Maharashtra,Pune,106,3,255,,0,0,2018
332,68,Maharashtra,Sangli,84,3,308,,0,0,2018
333,69,Maharashtra,Solapur,71,2,207,,0,0,2018
334,70,Maharashtra,Thane,107,3,271,,0,0,2018
335,71,Maharashtra,Ulhasnagar,123,2,164,,0,0,2018
336,72,Maharashtra,Vasai-Virar,,0,0,,0,0,2018
337,73,Meghalaya,Byrnihat,166,1,108,,0,0,2018
338,74,Nagaland,Dimapur,135,2,223,,0,0,2018
339,75,Nagaland,Kohima,105,2,222,,0,0,2018
340,76,Orissa,Angul,101,2,211,50,2,211,2018
341,77,Orissa,Balasore,86,3,312,47,3,312,2018
342,78,Orissa,Bhubaneswar,99,6,522,32,6,374,2018
343,79,Orissa,Cuttack,114,3,266,50,3,266,2018
344,80,Orissa,Kalinga Nagar,118,2,186,58,2,91,2018
345,81,Orissa,Rourkela,109,4,401,46,4,390,2018
346,82,Orissa,Talcher,111,2,208,50,2,208,2018
347,83,Punjab,Amritsar,177,2,193,,0,0,2018
348,84,Punjab,Dera Baba Nanak,81,1,118,,0,0,2018
349,85,Punjab,Dera Bassi,95,2,230,,0,0,2018
350,86,Punjab,Gobindgarh,121,3,367,,0,0,2018
351,87,Punjab,Jalandhar,153,4,449,,0,0,2018
352,88,Punjab,Khanna,135,2,180,,0,0,2018
353,89,Punjab,Ludhiana,162,4,560,,0,0,2018
354,90,Punjab,Naya Nangal,91,2,241,,0,0,2018
355,91,Punjab,Patiala,98,2,260,,0,0,2018
356,92,Rajasthan,Alwar,183,3,301,,0,0,2018
357,93,Rajasthan,Jaipur,165,9,867,,0,0,2018
358,94,Rajasthan,Jodhpur,223,9,831,,0,0,2018
359,95,Rajasthan,Kota,152,6,589,,0,0,2018
360,96,Rajasthan,Udaipur,147,3,313,,0,0,2018
361,97,Tamil Nadu,Chennai,78,11,967,34,8,582,2018
362,98,Tamil Nadu,Madurai,83,3,286,35,3,145,2018
363,99,Tamil Nadu,Trichy,110,5,476,53,5,475,2018
364,100,Tamil Nadu,Tuticorin,102,3,292,25,3,291,2018
365,101,Telangana,Hyderabad,105,10,1020,55,8,594,2018
366,102,Telangana,Nalgonda,60,2,144,49,2,22,2018
367,103,Telangana,Patancheru,81,1,85,37,1,74,2018
368,104,Telangana,Sangareddy,81,3,258,39,3,222,2018
369,105,Uttar Pradesh,Agra,209,6,812,106,4,510,2018
370,106,Uttar Pradesh,Allahabad,231,5,535,,0,0,2018
371,107,Uttar Pradesh,Anpara,191,2,196,,0,0,2018
372,108,Uttar Pradesh,Bareily,233,2,209,,0,0,2018
373,109,Uttar Pradesh,Firozabad,226,3,309,,0,0,2018
374,110,Uttar Pradesh,Gajraula,225,2,199,,0,0,2018
375,111,Uttar Pradesh,Ghaziabad,245,2,181,103,2,181,2018
376,112,Uttar Pradesh,Gorakhpur,218,3,315,,0,0,2018
377,113,Uttar Pradesh,Jhansi,96,2,238,,0,0,2018
378,114,Uttar Pradesh,Kanpur,210,9,804,83,1,140,2018
379,115,Uttar Pradesh,Khurja,214,2,171,,0,0,2018
380,116,Uttar Pradesh,Lucknow,217,8,775,108,1,108,2018
